,videoName,Method,PSNRavg,PSNRstd,SSIMavg,SSIMstd,MSEavg,MSEstd
0,hyperK_343,sttn_hyper-kvasir-Addingspec-GTdata,25.494675457510244,2.060588122892962,0.8293333007707867,0.04355912505771936,204.40797278455602,96.73332525047411
0,hyperK_344,sttn_hyper-kvasir-Addingspec-GTdata,29.625343263635656,3.300194423114935,0.9053698734068404,0.023749274475129093,92.55969517200326,73.09286725644468
0,hyperK_345,sttn_hyper-kvasir-Addingspec-GTdata,27.50937404998051,2.690098684599521,0.8575634607347448,0.03098536587515456,137.08351720424446,77.41379761327202
0,hyperK_346,sttn_hyper-kvasir-Addingspec-GTdata,24.56363049110435,1.8524592025561764,0.8221006355040771,0.03494340524676122,248.56219406582113,104.60787868050255
0,hyperK_347,sttn_hyper-kvasir-Addingspec-GTdata,28.68316272148083,2.514944669011702,0.901028900493332,0.026946356204942613,102.51951627605034,59.92644811954315
0,hyperK_348,sttn_hyper-kvasir-Addingspec-GTdata,24.09901866752977,1.148588957300627,0.8119872985902239,0.025154689047759006,262.91955326179266,82.00432554345072
0,hyperK_349,sttn_hyper-kvasir-Addingspec-GTdata,31.76303620230533,2.98901825504922,0.8726090134851884,0.03288270660161216,53.482255670228085,33.84967816992159
0,hyperK_350,sttn_hyper-kvasir-Addingspec-GTdata,30.090028028611982,4.478041271923886,0.9159348864875542,0.036854457247928386,111.37643128675597,139.4040871938937
0,hyperK_351,sttn_hyper-kvasir-Addingspec-GTdata,31.476100240390448,3.423100921398321,0.8724569504635012,0.03566514641256076,65.83558915841651,71.35348127358702
0,hyperK_352,sttn_hyper-kvasir-Addingspec-GTdata,19.75225164159449,0.94965331877583,0.7068798709723766,0.038144360116387666,705.2275175033072,158.85531862553574
0,hyperK_353,sttn_hyper-kvasir-Addingspec-GTdata,27.95267446955668,2.039561623329473,0.6872525822475161,0.05747721533075958,131.1333643395334,319.5442251933924
0,hyperK_354,sttn_hyper-kvasir-Addingspec-GTdata,28.86901409470243,2.804510524426705,0.8904050595808072,0.02135791950451426,101.91798702307408,58.310981886218485
0,hyperK_355,sttn_hyper-kvasir-Addingspec-GTdata,27.436385022784716,2.2148774184710507,0.8893419935631598,0.029082187563053728,131.37982742102494,59.56759575900869
0,hyperK_356,sttn_hyper-kvasir-Addingspec-GTdata,22.39812555618775,2.861008315200739,0.7705349407816205,0.0555943065318827,442.238212675033,220.11802423519902
0,hyperK_357,sttn_hyper-kvasir-Addingspec-GTdata,28.71574813858147,2.4106570627959387,0.70825840851568,0.04270979577970244,100.31757482067329,46.62570992055607
0,hyperK_358,sttn_hyper-kvasir-Addingspec-GTdata,31.297087906667198,3.623968978989541,0.8957491303233548,0.0496692421470984,71.63949363009742,72.09761782486818
0,hyperK_359,sttn_hyper-kvasir-Addingspec-GTdata,26.514569775587656,1.812213787669374,0.6683755846207331,0.07143586699026265,158.0003169153643,65.67021769127585
0,hyperK_360,sttn_hyper-kvasir-Addingspec-GTdata,25.30418349642517,2.8561202294544668,0.8266254372050444,0.04710645000993072,228.95254508515842,120.5760309042538
0,hyperK_361,sttn_hyper-kvasir-Addingspec-GTdata,28.725113385009692,1.9506507413967915,0.8873640453381809,0.017803396479870986,96.17268040993403,42.61889052551492
0,hyperK_362,sttn_hyper-kvasir-Addingspec-GTdata,25.39878453088186,2.9030322346855084,0.8135864247281065,0.07166469422047002,222.23151250462672,104.26662598758284
0,hyperK_363,sttn_hyper-kvasir-Addingspec-GTdata,27.105653507117243,1.1989158957510084,0.8445118713406451,0.023065391300529897,131.48668263765165,35.94853611202106
0,hyperK_364,sttn_hyper-kvasir-Addingspec-GTdata,26.39098658634929,3.422717261767061,0.7631025642251434,0.09789860321676294,192.89570224407746,123.15893227841472
0,hyperK_365,sttn_hyper-kvasir-Addingspec-GTdata,23.736447191040654,1.4944412056510725,0.7739733801556241,0.03445684265333082,290.09660346081876,88.5912576438997
0,hyperK_366,sttn_hyper-kvasir-Addingspec-GTdata,28.390896551762516,2.7270851419568602,0.8951170469674515,0.02754768955780911,112.9774159631078,67.36277987919607
0,hyperK_367,sttn_hyper-kvasir-Addingspec-GTdata,24.61600279453278,2.516401205501133,0.8194130455320234,0.047543963368728945,257.45734563357894,126.51884367403504
0,hyperK_368,sttn_hyper-kvasir-Addingspec-GTdata,22.81367363952539,0.5299627370320964,0.7652839771044444,0.013818671173483482,342.69190464630407,41.08714146760621
0,hyperK_369,sttn_hyper-kvasir-Addingspec-GTdata,20.17241561297077,0.4028781214383547,0.8473423358164129,0.0170071570736994,627.7761353948874,62.919785720655845
0,hyperK_370,sttn_hyper-kvasir-Addingspec-GTdata,23.755948359451317,2.9496982351891017,0.7552985518561854,0.05728401152559916,315.6861623936373,113.53861991118661
0,hyperK_371,sttn_hyper-kvasir-Addingspec-GTdata,20.60027935502214,0.44530257806222723,0.5064665827641325,0.02635675827233346,569.3166341719945,59.15967330547393
0,hyperK_372,sttn_hyper-kvasir-Addingspec-GTdata,22.786759134479883,2.8673684654165634,0.5664271135684147,0.05146429238791448,410.2413820714499,214.75016368860742
