,videoName,Method,PSNRavg,PSNRstd,SSIMavg,SSIMstd,MSEavg,MSEstd
0,hyperK_343,sttn_SanityCheck16,25.690849144993457,2.0865575712837208,0.8507324904327749,0.037807933883352504,195.99493912148714,93.66037586381928
0,hyperK_344,sttn_SanityCheck16,29.909720253897603,3.6938231660791994,0.9185083307189524,0.02091491659983951,96.04983412383996,102.66113257814649
0,hyperK_345,sttn_SanityCheck16,27.964432850251516,3.051798516264131,0.8787939491037202,0.02592879883137194,128.87405426545484,80.43720395447261
0,hyperK_346,sttn_SanityCheck16,24.64935717246397,2.0134348957641333,0.8361301156976331,0.03188872545680699,247.07035080192395,109.42774058607968
0,hyperK_347,sttn_SanityCheck16,28.9008017655456,2.7143664855646428,0.9097568567528056,0.026042695973537158,100.37404864263704,67.37793140208488
0,hyperK_348,sttn_SanityCheck16,24.395756051964437,1.2283755003694992,0.8365524116943525,0.026404505234348234,246.7583604494481,80.34597717192537
0,hyperK_349,sttn_SanityCheck16,32.17331254174599,2.871346076467164,0.8889949958757436,0.027602841890986184,48.287851283483384,29.75974173031277
0,hyperK_350,sttn_SanityCheck16,30.44424899469822,4.64486738519298,0.9287237825015163,0.0328739230298934,108.41791552614939,141.5942137153695
0,hyperK_351,sttn_SanityCheck16,31.82595240515088,3.286453002850928,0.8897626264262933,0.026938955429724708,60.25084865531678,69.6626035999224
0,hyperK_352,sttn_SanityCheck16,19.971004725922796,0.9252071576900478,0.7374452637185236,0.03848951199304904,669.7769154404155,146.58344436272773
0,hyperK_353,sttn_SanityCheck16,27.910487697272224,1.8610724473355504,0.6984219145538458,0.05491485205189086,118.58824660346617,111.94797450113693
0,hyperK_354,sttn_SanityCheck16,29.450913169166657,2.5797572947378744,0.9107290921446369,0.01584168595797663,87.22455346329508,49.51780385005911
0,hyperK_355,sttn_SanityCheck16,27.765250892694798,2.250183752574273,0.9017825800903865,0.02695492420853054,122.91187483803509,60.62408405307021
0,hyperK_356,sttn_SanityCheck16,22.532539754719757,3.0504666797387148,0.7891029086023623,0.052062261945965756,430.8042315011809,203.8524344970117
0,hyperK_357,sttn_SanityCheck16,30.232907646827055,3.4110189425623823,0.7675465995275575,0.03385414444613509,79.31323666391604,45.24606778109167
0,hyperK_358,sttn_SanityCheck16,31.372897955997722,3.5831184420254605,0.9117059306406294,0.044862505007431996,69.94365581498379,69.84635487150618
0,hyperK_359,sttn_SanityCheck16,26.421315605046505,1.9263900907405096,0.6823582316463535,0.06746756814521684,163.42138728883523,73.66329643134179
0,hyperK_360,sttn_SanityCheck16,25.400494991228523,3.2145477891240906,0.8526448786724921,0.043513928981720934,231.29941371567415,125.96659693785995
0,hyperK_361,sttn_SanityCheck16,28.9295950666663,2.2321439081132426,0.8950676966371501,0.01783928771609844,94.4329847399994,47.365860414255266
0,hyperK_362,sttn_SanityCheck16,25.70840391431263,3.050438466636648,0.8357412245609013,0.06431956667021928,210.13464009622186,101.56357700033283
0,hyperK_363,sttn_SanityCheck16,27.350127869029457,1.4583991981698914,0.8641836911728221,0.021511555939108543,126.59655146786164,42.28980199172759
0,hyperK_364,sttn_SanityCheck16,26.807570963000906,3.918804689353706,0.7826061371556249,0.08980376442665558,188.68528396383113,136.27669419727866
0,hyperK_365,sttn_SanityCheck16,23.79825021720185,1.4093307034906852,0.8000920523495461,0.030763294906352007,284.2413826393675,80.22568351858158
0,hyperK_366,sttn_SanityCheck16,28.643068400223083,2.8675728445935165,0.905629363956758,0.025801201047610006,108.68603897343665,69.29532672973734
0,hyperK_367,sttn_SanityCheck16,24.85811075311023,2.567988492039851,0.8393641175939501,0.04436680651535278,243.09715656487782,111.52004183747609
0,hyperK_368,sttn_SanityCheck16,22.83914458813241,0.5728389057304953,0.7897200239941529,0.013818623915997084,341.09857825251095,43.931417446348235
0,hyperK_369,sttn_SanityCheck16,20.92818957352071,0.5077991229604967,0.8949009093369448,0.017349891984669158,529.0215819059332,69.60475803771094
0,hyperK_370,sttn_SanityCheck16,24.11940438431836,3.024441794293093,0.7892642734281871,0.0499471651067613,292.029207118007,106.01079544962637
0,hyperK_371,sttn_SanityCheck16,20.817392660329215,0.3285857727181525,0.5559053751999671,0.02809444495718556,540.2350970878804,40.83218559845726
0,hyperK_372,sttn_SanityCheck16,22.833481634063947,3.0522032883461225,0.5869043589991683,0.052036526535632004,415.54395486305333,231.30556606385053
