,videoName,Method,PSNRavg,PSNRstd,SSIMavg,SSIMstd,MSEavg,MSEstd
0,hyperK_343,PseudoSTTNdataCycleGAN,20.14870771504029,1.4286944964249,0.792015108075741,0.042050922319179396,664.4328951419825,240.65734154360655
0,hyperK_344,PseudoSTTNdataCycleGAN,23.580299992575174,1.8325816076212609,0.8927058471450334,0.02321166353204627,315.3001723252763,180.31434622197526
0,hyperK_345,PseudoSTTNdataCycleGAN,22.750832699020307,2.198910441496608,0.847440199520358,0.04358271277901137,401.16732698576595,310.1927292059825
0,hyperK_346,PseudoSTTNdataCycleGAN,18.005097803261812,1.804140295311753,0.7713738726600918,0.0420059987693331,1126.9025804025664,551.8814170658728
0,hyperK_347,PseudoSTTNdataCycleGAN,24.874832013217873,1.5089114223929285,0.8939357622084619,0.022380794294986146,227.75883277481455,118.53840488295472
0,hyperK_348,PseudoSTTNdataCycleGAN,19.566364709512094,0.911379581088177,0.7473035698679635,0.02605687244472561,734.8409931155207,161.60582426268783
0,hyperK_349,PseudoSTTNdataCycleGAN,24.317184807594735,3.312753044262035,0.8734561014314225,0.035303129917161634,354.01769150042895,446.5447228240089
0,hyperK_350,PseudoSTTNdataCycleGAN,24.260642763515143,2.9570560368255854,0.8933600845279184,0.03905714139887804,327.32030215609615,405.10940744942945
0,hyperK_351,PseudoSTTNdataCycleGAN,24.659595193203163,3.1470203596016417,0.890023196996735,0.02946179153245009,291.0035494763575,263.6007804285485
0,hyperK_352,PseudoSTTNdataCycleGAN,16.115435583996057,1.0264439602788804,0.66381117748928,0.04488626852369001,1636.307574550327,400.68019916568727
0,hyperK_353,PseudoSTTNdataCycleGAN,21.830229345590812,2.223565145585213,0.711476817495722,0.03585400469228922,516.2435812817266,631.6893736629775
0,hyperK_354,PseudoSTTNdataCycleGAN,22.854031301009126,2.1660362910982927,0.8770159607032834,0.030109629219631957,375.3421961124055,155.15611646828742
0,hyperK_355,PseudoSTTNdataCycleGAN,22.759296401899398,1.4131844291372528,0.8608630253802547,0.026722538608788544,362.85929303344926,117.50658925172283
0,hyperK_356,PseudoSTTNdataCycleGAN,16.866925845361333,2.6095770156445273,0.7049137931338789,0.06215362171138967,1538.2253191506188,719.9275769334103
0,hyperK_357,PseudoSTTNdataCycleGAN,20.454382206975193,2.254349851092836,0.6909795872747282,0.1357063933748971,671.5524538421282,356.8589221606749
0,hyperK_358,PseudoSTTNdataCycleGAN,24.646932986498047,1.4801506765519872,0.8899593534842163,0.039630591449453495,237.0695586088887,88.67548422084205
0,hyperK_359,PseudoSTTNdataCycleGAN,21.917085401655907,2.4102184516091154,0.705941504659507,0.0544599353551689,507.0283282069882,472.4277957523467
0,hyperK_360,PseudoSTTNdataCycleGAN,22.324124988200303,1.819359701776466,0.84745976473611,0.04019962162119648,413.30640067105844,159.29389115650932
0,hyperK_361,PseudoSTTNdataCycleGAN,24.007206706810386,2.4353926167192688,0.8700757780623573,0.022980411716440847,302.89718945738014,179.9042569513793
0,hyperK_362,PseudoSTTNdataCycleGAN,23.534698523107856,1.3855620796059411,0.8269698058818841,0.05998064436720072,302.4742474533327,93.86242479174706
0,hyperK_363,PseudoSTTNdataCycleGAN,24.042116332503213,0.8102054952432703,0.8509156781820356,0.016974097946940728,260.96262662737547,52.23033896824686
0,hyperK_364,PseudoSTTNdataCycleGAN,21.33704579415033,2.9578596376850124,0.7961015220780038,0.07587440999191764,605.0186975773033,458.3513558802912
0,hyperK_365,PseudoSTTNdataCycleGAN,16.341125402105547,2.3797062502162496,0.7323752005278547,0.04322051883567761,1694.6684097098407,663.1271226117198
0,hyperK_366,PseudoSTTNdataCycleGAN,24.646954374642046,1.7220718277692408,0.8833752050422391,0.02377902375216781,242.6077034537506,112.84703790429991
0,hyperK_367,PseudoSTTNdataCycleGAN,20.261723110925885,2.760632694352117,0.807287422619285,0.05634873534186659,767.575604243522,596.568529358949
0,hyperK_368,PseudoSTTNdataCycleGAN,21.339115898137912,0.3597815688938767,0.783765669511528,0.014182474020953451,479.3220110117179,38.505271187214106
0,hyperK_369,PseudoSTTNdataCycleGAN,18.990750425707486,0.4561215846552243,0.7422210137351827,0.020922452075940928,825.0432286740422,90.97921311777174
0,hyperK_370,PseudoSTTNdataCycleGAN,16.89728480642359,3.4382533251298804,0.7620208516855859,0.05128485453050492,1641.7390076252868,770.8242787079499
0,hyperK_371,PseudoSTTNdataCycleGAN,16.311937182396996,0.1979857181960419,0.5754115876133632,0.02676273808522779,1521.723510885715,68.89109843947034
0,hyperK_372,PseudoSTTNdataCycleGAN,19.069798536365127,2.073441814775657,0.573923485966755,0.055866772211424706,898.5206028628319,424.2522043639283
