,videoName,Method,PSNRavg,PSNRstd,SSIMavg,SSIMstd,MSEavg,MSEstd
0,hyperK_343,sttn_SanityCheck16,25.475026032777368,1.9787331904373324,0.8498056732971515,0.03681940841370048,203.69813410974518,92.51397888232432
0,hyperK_344,sttn_SanityCheck16,29.873101471688177,3.833477828671724,0.9206013337992273,0.02262504738733002,98.52015124694938,106.48126515254323
0,hyperK_345,sttn_SanityCheck16,27.942859491546386,2.97318232810806,0.8823339039550527,0.026350661982167654,128.662243026388,80.76959698072338
0,hyperK_346,sttn_SanityCheck16,24.486138362696483,1.9991221670397905,0.8377630751818953,0.03368626503073453,256.2400030504545,113.30413064119145
0,hyperK_347,sttn_SanityCheck16,28.788745516767264,2.623901020497415,0.9137630804729253,0.02520021395985952,101.4561937839606,61.99305666455739
0,hyperK_348,sttn_SanityCheck16,24.342331494034752,1.2237690976994733,0.8355352642160632,0.02544093103352163,249.89668449442397,83.1974752891096
0,hyperK_349,sttn_SanityCheck16,31.545540960358508,2.9090624747013862,0.8892227074845569,0.03044040337142042,55.81213547926766,34.141358172648566
0,hyperK_350,sttn_SanityCheck16,30.17866115458403,4.7054854144034435,0.9297135515705237,0.03496205607119198,116.41363912392873,155.94228788743771
0,hyperK_351,sttn_SanityCheck16,31.67522280521952,3.241964656010545,0.8986114341406287,0.026691460022521,61.87002668917945,74.70853275230394
0,hyperK_352,sttn_SanityCheck16,19.850291581931472,0.9824267613840122,0.7325630282804733,0.03795464525387807,690.6419226136916,161.32348380347383
0,hyperK_353,sttn_SanityCheck16,27.824588218891716,2.0300906696816474,0.7107712488845458,0.051780950840544765,136.99575345604293,371.3700644508649
0,hyperK_354,sttn_SanityCheck16,29.382111621244647,2.5483242686865117,0.9133606474736828,0.017126400951793318,88.40297969633004,50.100931575762
0,hyperK_355,sttn_SanityCheck16,27.66604124448033,2.2831124298493997,0.9024459973870403,0.027950320255728908,125.9814749742729,61.71576379504102
0,hyperK_356,sttn_SanityCheck16,22.53460209859147,3.070013010265947,0.7905120713251733,0.052759234920189364,432.66494346592674,210.67065094196838
0,hyperK_357,sttn_SanityCheck16,30.215822648447745,3.7886186324385993,0.7584678719135455,0.031203948106574887,83.70698380611995,50.592120543188805
0,hyperK_358,sttn_SanityCheck16,31.291303170515622,3.5095199623530866,0.9141693763551438,0.04427131778313682,69.99797754569977,68.30353889063126
0,hyperK_359,sttn_SanityCheck16,26.42233506029208,1.793183513689845,0.691732988832777,0.06657916843204187,161.21394145464873,66.90002429497727
0,hyperK_360,sttn_SanityCheck16,25.364452111262963,3.1944287765743304,0.8542020020605309,0.0443778405548233,232.01864820936567,123.6259891779081
0,hyperK_361,sttn_SanityCheck16,28.818472388420044,2.142723307176423,0.9015579645638031,0.01678682475208158,95.99768409775176,46.53283811758317
0,hyperK_362,sttn_SanityCheck16,25.578977151608367,3.0058249830384036,0.8379578746256686,0.06648724204663628,215.07757252138404,101.65017719666504
0,hyperK_363,sttn_SanityCheck16,27.337283320541356,1.187389122700733,0.866056809837611,0.018406329478640553,124.6838699455346,35.17762589338294
0,hyperK_364,sttn_SanityCheck16,26.6203575756925,3.7776245230468843,0.7922375616461957,0.09157235636306849,194.5624367053662,145.6297757346653
0,hyperK_365,sttn_SanityCheck16,23.710002879241195,1.441209550322848,0.8000606851412432,0.03030189255819011,290.90356414423854,86.54727153614452
0,hyperK_366,sttn_SanityCheck16,28.447030485150297,2.6910561200734704,0.9074742575926379,0.025118203282709212,111.47316683827316,68.54615514830179
0,hyperK_367,sttn_SanityCheck16,24.827813355322167,2.485747136978785,0.8449171279895294,0.04370089818079446,244.5814842586419,119.51972354832662
0,hyperK_368,sttn_SanityCheck16,22.853380264040112,0.5716533743513653,0.7904036085744617,0.014257138766294114,339.965450925708,43.595546157881195
0,hyperK_369,sttn_SanityCheck16,20.916412770785424,0.4774301696548991,0.8959873254330214,0.015324267868646137,529.9977455532463,65.40319037071971
0,hyperK_370,sttn_SanityCheck16,24.067190290029195,3.038911841943986,0.7895963512825342,0.052100621188143674,296.4808815437287,111.09678598057694
0,hyperK_371,sttn_SanityCheck16,20.70446400945261,0.3678801078815762,0.5528421065233843,0.029073855228480702,554.869597330155,46.98256828368802
0,hyperK_372,sttn_SanityCheck16,22.75633648948752,3.1720985894453255,0.5883705289626063,0.05081029118127742,427.2064511113289,237.86357805794088
