masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck17
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<473:38:06,  3.41s/it]
dA: 0.786; gA: -0.006;idtA: 0.046; ;dB: 0.461; gB: 0.002;cA: 0.082; cB: 0.000:   0%|          | 16/500000 [00:11<417:52:35,  3.01s/it]
dA: 0.786; gA: -0.006;idtA: 0.046; ;dB: 0.461; gB: 0.002;cA: 0.082; cB: 0.000:   0%|          | 17/500000 [00:12<414:26:57,  2.98s/it]
dA: 1.082; gA: 0.008;idtA: 0.019; ;dB: 0.416; gB: 0.013;cA: 0.035; cB: 0.000:   0%|          | 17/500000 [00:12<414:26:57,  2.98s/it] 
dA: 1.082; gA: 0.008;idtA: 0.019; ;dB: 0.416; gB: 0.013;cA: 0.035; cB: 0.000:   0%|          | 18/500000 [00:12<411:03:31,  2.96s/it]
dA: 0.926; gA: 0.003;idtA: 0.030; ;dB: 0.622; gB: 0.017;cA: 0.078; cB: 0.000:   0%|          | 18/500000 [00:12<411:03:31,  2.96s/it]
dA: 0.926; gA: 0.003;idtA: 0.030; ;dB: 0.622; gB: 0.017;cA: 0.078; cB: 0.000:   0%|          | 19/500000 [00:13<407:42:05,  2.94s/it]
dA: 0.985; gA: 0.003;idtA: 0.027; ;dB: 0.600; gB: 0.013;cA: 0.077; cB: 0.000:   0%|          | 19/500000 [00:13<407:42:05,  2.94s/it]
dA: 0.985; gA: 0.003;idtA: 0.027; ;dB: 0.600; gB: 0.013;cA: 0.077; cB: 0.000:   0%|          | 20/500000 [00:13<404:22:31,  2.91s/it]
dA: 0.926; gA: 0.003;idtA: 0.019; ;dB: 0.555; gB: 0.019;cA: 0.053; cB: 0.000:   0%|          | 20/500000 [00:13<404:22:31,  2.91s/it]
dA: 0.926; gA: 0.003;idtA: 0.019; ;dB: 0.555; gB: 0.019;cA: 0.053; cB: 0.000:   0%|          | 21/500000 [00:14<401:10:28,  2.89s/it]
dA: 0.903; gA: 0.003;idtA: 0.017; ;dB: 0.426; gB: 0.015;cA: 0.031; cB: 0.000:   0%|          | 21/500000 [00:14<401:10:28,  2.89s/it]
dA: 0.903; gA: 0.003;idtA: 0.017; ;dB: 0.426; gB: 0.015;cA: 0.031; cB: 0.000:   0%|          | 22/500000 [00:14<397:54:46,  2.87s/it]
dA: 0.898; gA: -0.009;idtA: 0.030; ;dB: 0.316; gB: 0.010;cA: 0.107; cB: 0.000:   0%|          | 22/500000 [00:14<397:54:46,  2.87s/it]
dA: 0.898; gA: -0.009;idtA: 0.030; ;dB: 0.316; gB: 0.010;cA: 0.107; cB: 0.000:   0%|          | 23/500000 [00:15<394:41:02,  2.84s/it]
dA: 0.884; gA: 0.011;idtA: 0.033; ;dB: 0.201; gB: 0.017;cA: 0.074; cB: 0.000:   0%|          | 23/500000 [00:15<394:41:02,  2.84s/it] 
dA: 0.884; gA: 0.011;idtA: 0.033; ;dB: 0.201; gB: 0.017;cA: 0.074; cB: 0.000:   0%|          | 24/500000 [00:15<391:29:14,  2.82s/it]
dA: 1.027; gA: -0.000;idtA: 0.020; ;dB: 0.339; gB: 0.014;cA: 0.058; cB: 0.000:   0%|          | 24/500000 [00:15<391:29:14,  2.82s/it]
dA: 1.027; gA: -0.000;idtA: 0.020; ;dB: 0.339; gB: 0.014;cA: 0.058; cB: 0.000:   0%|          | 25/500000 [00:16<388:19:21,  2.80s/it]
dA: 1.107; gA: 0.001;idtA: 0.029; ;dB: 0.726; gB: 0.002;cA: 0.040; cB: 0.000:   0%|          | 25/500000 [00:16<388:19:21,  2.80s/it] 
dA: 1.107; gA: 0.001;idtA: 0.029; ;dB: 0.726; gB: 0.002;cA: 0.040; cB: 0.000:   0%|          | 26/500000 [00:17<385:11:29,  2.77s/it]
dA: 1.066; gA: 0.008;idtA: 0.025; ;dB: 0.436; gB: 0.010;cA: 0.069; cB: 0.000:   0%|          | 26/500000 [00:17<385:11:29,  2.77s/it]
dA: 1.066; gA: 0.008;idtA: 0.025; ;dB: 0.436; gB: 0.010;cA: 0.069; cB: 0.000:   0%|          | 27/500000 [00:17<382:05:21,  2.75s/it]
dA: 1.026; gA: -0.002;idtA: 0.015; ;dB: 1.036; gB: 0.004;cA: 0.029; cB: 0.000:   0%|          | 27/500000 [00:17<382:05:21,  2.75s/it]
dA: 1.026; gA: -0.002;idtA: 0.015; ;dB: 1.036; gB: 0.004;cA: 0.029; cB: 0.000:   0%|          | 28/500000 [00:18<379:01:17,  2.73s/it]
dA: 0.859; gA: 0.003;idtA: 0.022; ;dB: 0.137; gB: 0.021;cA: 0.061; cB: 0.000:   0%|          | 28/500000 [00:18<379:01:17,  2.73s/it] 
dA: 0.859; gA: 0.003;idtA: 0.022; ;dB: 0.137; gB: 0.021;cA: 0.061; cB: 0.000:   0%|          | 29/500000 [00:18<375:59:00,  2.71s/it]
dA: 0.985; gA: 0.001;idtA: 0.027; ;dB: 0.243; gB: 0.022;cA: 0.066; cB: 0.000:   0%|          | 29/500000 [00:18<375:59:00,  2.71s/it]
dA: 0.985; gA: 0.001;idtA: 0.027; ;dB: 0.243; gB: 0.022;cA: 0.066; cB: 0.000:   0%|          | 30/500000 [00:19<372:58:41,  2.69s/it]
dA: 0.600; gA: 0.013;idtA: 0.031; ;dB: 0.329; gB: 0.031;cA: 0.074; cB: 0.000:   0%|          | 30/500000 [00:19<372:58:41,  2.69s/it]
dA: 0.600; gA: 0.013;idtA: 0.031; ;dB: 0.329; gB: 0.031;cA: 0.074; cB: 0.000:   0%|          | 31/500000 [00:19<370:00:29,  2.66s/it]
dA: 1.046; gA: -0.001;idtA: 0.022; ;dB: 0.646; gB: -0.009;cA: 0.042; cB: 0.000:   0%|          | 31/500000 [00:19<370:00:29,  2.66s/it]
dA: 1.046; gA: -0.001;idtA: 0.022; ;dB: 0.646; gB: -0.009;cA: 0.042; cB: 0.000:   0%|          | 32/500000 [00:20<367:03:37,  2.64s/it]
dA: 1.075; gA: -0.002;idtA: 0.022; ;dB: 0.208; gB: 0.009;cA: 0.073; cB: 0.000:   0%|          | 32/500000 [00:20<367:03:37,  2.64s/it] 
dA: 1.075; gA: -0.002;idtA: 0.022; ;dB: 0.208; gB: 0.009;cA: 0.073; cB: 0.000:   0%|          | 33/500000 [00:20<364:08:27,  2.62s/it]
dA: 1.056; gA: 0.005;idtA: 0.027; ;dB: 0.423; gB: 0.014;cA: 0.083; cB: 0.000:   0%|          | 33/500000 [00:20<364:08:27,  2.62s/it] 
dA: 1.056; gA: 0.005;idtA: 0.027; ;dB: 0.423; gB: 0.014;cA: 0.083; cB: 0.000:   0%|          | 34/500000 [00:21<361:15:18,  2.60s/it]
dA: 1.055; gA: -0.001;idtA: 0.027; ;dB: 0.918; gB: -0.006;cA: 0.059; cB: 0.000:   0%|          | 34/500000 [00:21<361:15:18,  2.60s/it]
dA: 1.055; gA: -0.001;idtA: 0.027; ;dB: 0.918; gB: -0.006;cA: 0.059; cB: 0.000:   0%|          | 35/500000 [00:21<358:23:29,  2.58s/it]
dA: 0.812; gA: 0.003;idtA: 0.024; ;dB: 0.368; gB: 0.018;cA: 0.060; cB: 0.000:   0%|          | 35/500000 [00:21<358:23:29,  2.58s/it]  
dA: 0.812; gA: 0.003;idtA: 0.024; ;dB: 0.368; gB: 0.018;cA: 0.060; cB: 0.000:   0%|          | 36/500000 [00:22<355:38:08,  2.56s/it]
dA: 0.913; gA: 0.005;idtA: 0.025; ;dB: 0.162; gB: 0.019;cA: 0.075; cB: 0.000:   0%|          | 36/500000 [00:22<355:38:08,  2.56s/it]
dA: 0.913; gA: 0.005;idtA: 0.025; ;dB: 0.162; gB: 0.019;cA: 0.075; cB: 0.000:   0%|          | 37/500000 [00:23<352:55:31,  2.54s/it]
dA: 0.886; gA: -0.000;idtA: 0.025; ;dB: 0.412; gB: 0.014;cA: 0.066; cB: 0.000:   0%|          | 37/500000 [00:23<352:55:31,  2.54s/it]
dA: 0.886; gA: -0.000;idtA: 0.025; ;dB: 0.412; gB: 0.014;cA: 0.066; cB: 0.000:   0%|          | 38/500000 [00:23<350:14:38,  2.52s/it]
dA: 0.855; gA: 0.008;idtA: 0.041; ;dB: 0.261; gB: 0.018;cA: 0.131; cB: 0.000:   0%|          | 38/500000 [00:23<350:14:38,  2.52s/it] 
dA: 0.855; gA: 0.008;idtA: 0.041; ;dB: 0.261; gB: 0.018;cA: 0.131; cB: 0.000:   0%|          | 39/500000 [00:24<347:29:43,  2.50s/it]
dA: 0.833; gA: -0.003;idtA: 0.028; ;dB: 0.180; gB: 0.010;cA: 0.075; cB: 0.000:   0%|          | 39/500000 [00:24<347:29:43,  2.50s/it]
dA: 0.833; gA: -0.003;idtA: 0.028; ;dB: 0.180; gB: 0.010;cA: 0.075; cB: 0.000:   0%|          | 40/500000 [00:24<344:47:25,  2.48s/it]
dA: 0.835; gA: 0.012;idtA: 0.022; ;dB: 0.167; gB: 0.018;cA: 0.074; cB: 0.000:   0%|          | 40/500000 [00:24<344:47:25,  2.48s/it] 
dA: 0.835; gA: 0.012;idtA: 0.022; ;dB: 0.167; gB: 0.018;cA: 0.074; cB: 0.000:   0%|          | 41/500000 [00:25<342:05:38,  2.46s/it]
dA: 0.750; gA: -0.005;idtA: 0.023; ;dB: 0.128; gB: 0.010;cA: 0.054; cB: 0.000:   0%|          | 41/500000 [00:25<342:05:38,  2.46s/it]
dA: 0.750; gA: -0.005;idtA: 0.023; ;dB: 0.128; gB: 0.010;cA: 0.054; cB: 0.000:   0%|          | 42/500000 [00:25<339:25:21,  2.44s/it]
dA: 0.937; gA: 0.002;idtA: 0.021; ;dB: 0.330; gB: 0.017;cA: 0.070; cB: 0.000:   0%|          | 42/500000 [00:25<339:25:21,  2.44s/it] 
dA: 0.937; gA: 0.002;idtA: 0.021; ;dB: 0.330; gB: 0.017;cA: 0.070; cB: 0.000:   0%|          | 43/500000 [00:26<336:46:49,  2.43s/it]
dA: 0.970; gA: 0.002;idtA: 0.019; ;dB: 0.233; gB: 0.009;cA: 0.053; cB: 0.000:   0%|          | 43/500000 [00:26<336:46:49,  2.43s/it]
dA: 0.970; gA: 0.002;idtA: 0.019; ;dB: 0.233; gB: 0.009;cA: 0.053; cB: 0.000:   0%|          | 44/500000 [00:26<334:09:40,  2.41s/it]
dA: 0.919; gA: 0.000;idtA: 0.028; ;dB: 0.199; gB: 0.013;cA: 0.082; cB: 0.000:   0%|          | 44/500000 [00:26<334:09:40,  2.41s/it]
dA: 0.919; gA: 0.000;idtA: 0.028; ;dB: 0.199; gB: 0.013;cA: 0.082; cB: 0.000:   0%|          | 45/500000 [00:27<331:34:07,  2.39s/it]
dA: 0.995; gA: 0.000;idtA: 0.021; ;dB: 1.318; gB: 0.007;cA: 0.039; cB: 0.000:   0%|          | 45/500000 [00:27<331:34:07,  2.39s/it]
dA: 0.995; gA: 0.000;idtA: 0.021; ;dB: 1.318; gB: 0.007;cA: 0.039; cB: 0.000:   0%|          | 46/500000 [00:28<329:00:06,  2.37s/it]
dA: 0.925; gA: 0.005;idtA: 0.033; ;dB: 0.403; gB: 0.002;cA: 0.104; cB: 0.000:   0%|          | 46/500000 [00:28<329:00:06,  2.37s/it]
dA: 0.925; gA: 0.005;idtA: 0.033; ;dB: 0.403; gB: 0.002;cA: 0.104; cB: 0.000:   0%|          | 47/500000 [00:28<326:27:46,  2.35s/it]
dA: 0.957; gA: 0.000;idtA: 0.022; ;dB: 0.625; gB: 0.008;cA: 0.044; cB: 0.000:   0%|          | 47/500000 [00:28<326:27:46,  2.35s/it]
dA: 0.957; gA: 0.000;idtA: 0.022; ;dB: 0.625; gB: 0.008;cA: 0.044; cB: 0.000:   0%|          | 48/500000 [00:29<323:56:54,  2.33s/it]
dA: 1.135; gA: 0.002;idtA: 0.028; ;dB: 0.109; gB: 0.014;cA: 0.072; cB: 0.000:   0%|          | 48/500000 [00:29<323:56:54,  2.33s/it]
dA: 1.135; gA: 0.002;idtA: 0.028; ;dB: 0.109; gB: 0.014;cA: 0.072; cB: 0.000:   0%|          | 49/500000 [00:29<321:27:27,  2.31s/it]
dA: 0.898; gA: 0.003;idtA: 0.025; ;dB: 0.406; gB: 0.003;cA: 0.059; cB: 0.000:   0%|          | 49/500000 [00:29<321:27:27,  2.31s/it]
dA: 0.898; gA: 0.003;idtA: 0.025; ;dB: 0.406; gB: 0.003;cA: 0.059; cB: 0.000:   0%|          | 50/500000 [00:30<318:59:30,  2.30s/it]
dA: 1.015; gA: 0.002;idtA: 0.020; ;dB: 0.699; gB: 0.011;cA: 0.043; cB: 0.000:   0%|          | 50/500000 [00:30<318:59:30,  2.30s/it]
dA: 1.015; gA: 0.002;idtA: 0.020; ;dB: 0.699; gB: 0.011;cA: 0.043; cB: 0.000:   0%|          | 51/500000 [00:30<316:33:18,  2.28s/it]
dA: 0.847; gA: -0.004;idtA: 0.034; ;dB: 0.285; gB: 0.015;cA: 0.073; cB: 0.000:   0%|          | 51/500000 [00:30<316:33:18,  2.28s/it]
dA: 0.847; gA: -0.004;idtA: 0.034; ;dB: 0.285; gB: 0.015;cA: 0.073; cB: 0.000:   0%|          | 52/500000 [00:31<314:08:20,  2.26s/it]
dA: 0.974; gA: -0.006;idtA: 0.032; ;dB: 0.822; gB: 0.004;cA: 0.055; cB: 0.000:   0%|          | 52/500000 [00:31<314:08:20,  2.26s/it]
dA: 0.974; gA: -0.006;idtA: 0.032; ;dB: 0.822; gB: 0.004;cA: 0.055; cB: 0.000:   0%|          | 53/500000 [00:31<311:44:55,  2.24s/it]
