masks are: empty
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck14
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<502:38:25,  3.62s/it]
dA: 0.883; gA: 0.015;idtA: 0.085; ;dB: 0.627; gB: 0.003;cA: 0.146; cB: 0.133:   0%|          | 16/500000 [00:11<443:04:05,  3.19s/it] 
dA: 0.883; gA: 0.015;idtA: 0.085; ;dB: 0.627; gB: 0.003;cA: 0.146; cB: 0.133:   0%|          | 17/500000 [00:12<439:24:27,  3.16s/it]
dA: 0.798; gA: 0.007;idtA: 0.017; ;dB: 0.403; gB: 0.005;cA: 0.035; cB: 0.030:   0%|          | 17/500000 [00:12<439:24:27,  3.16s/it]
dA: 0.798; gA: 0.007;idtA: 0.017; ;dB: 0.403; gB: 0.005;cA: 0.035; cB: 0.030:   0%|          | 18/500000 [00:13<435:47:09,  3.14s/it]
dA: 0.694; gA: 0.006;idtA: 0.033; ;dB: 0.571; gB: 0.013;cA: 0.054; cB: 0.077:   0%|          | 18/500000 [00:13<435:47:09,  3.14s/it]
dA: 0.694; gA: 0.006;idtA: 0.033; ;dB: 0.571; gB: 0.013;cA: 0.054; cB: 0.077:   0%|          | 19/500000 [00:13<432:12:12,  3.11s/it]
dA: 0.595; gA: 0.007;idtA: 0.028; ;dB: 0.331; gB: 0.010;cA: 0.051; cB: 0.046:   0%|          | 19/500000 [00:13<432:12:12,  3.11s/it]
dA: 0.595; gA: 0.007;idtA: 0.028; ;dB: 0.331; gB: 0.010;cA: 0.051; cB: 0.046:   0%|          | 20/500000 [00:14<428:38:59,  3.09s/it]
dA: 0.705; gA: 0.004;idtA: 0.027; ;dB: 0.175; gB: 0.014;cA: 0.049; cB: 0.049:   0%|          | 20/500000 [00:14<428:38:59,  3.09s/it]
dA: 0.705; gA: 0.004;idtA: 0.027; ;dB: 0.175; gB: 0.014;cA: 0.049; cB: 0.049:   0%|          | 21/500000 [00:14<425:08:15,  3.06s/it]
dA: 1.089; gA: 0.039;idtA: 0.022; ;dB: 0.930; gB: 0.001;cA: 0.035; cB: 0.034:   0%|          | 21/500000 [00:14<425:08:15,  3.06s/it]
dA: 1.089; gA: 0.039;idtA: 0.022; ;dB: 0.930; gB: 0.001;cA: 0.035; cB: 0.034:   0%|          | 22/500000 [00:15<421:39:26,  3.04s/it]
dA: 0.951; gA: -0.010;idtA: 0.030; ;dB: 0.347; gB: 0.025;cA: 0.075; cB: 0.053:   0%|          | 22/500000 [00:15<421:39:26,  3.04s/it]
dA: 0.951; gA: -0.010;idtA: 0.030; ;dB: 0.347; gB: 0.025;cA: 0.075; cB: 0.053:   0%|          | 23/500000 [00:15<418:12:45,  3.01s/it]
dA: 0.829; gA: 0.011;idtA: 0.039; ;dB: 0.260; gB: 0.010;cA: 0.085; cB: 0.126:   0%|          | 23/500000 [00:15<418:12:45,  3.01s/it] 
dA: 0.829; gA: 0.011;idtA: 0.039; ;dB: 0.260; gB: 0.010;cA: 0.085; cB: 0.126:   0%|          | 24/500000 [00:16<414:47:55,  2.99s/it]
dA: 0.747; gA: 0.008;idtA: 0.022; ;dB: 0.410; gB: 0.015;cA: 0.042; cB: 0.040:   0%|          | 24/500000 [00:16<414:47:55,  2.99s/it]
dA: 0.747; gA: 0.008;idtA: 0.022; ;dB: 0.410; gB: 0.015;cA: 0.042; cB: 0.040:   0%|          | 25/500000 [00:16<411:24:22,  2.96s/it]
dA: 0.750; gA: -0.001;idtA: 0.019; ;dB: 0.482; gB: 0.021;cA: 0.030; cB: 0.030:   0%|          | 25/500000 [00:16<411:24:22,  2.96s/it]
dA: 0.750; gA: -0.001;idtA: 0.019; ;dB: 0.482; gB: 0.021;cA: 0.030; cB: 0.030:   0%|          | 26/500000 [00:17<408:03:41,  2.94s/it]
