masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck9
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-hoover-modelspec/gen_00013.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<538:04:45,  3.87s/it]
dA: 1.960; gA: 0.011;idtA: 0.022; ;dB: 0.718; gB: 0.007;cA: 0.043; cB: 0.037:   0%|          | 16/500000 [00:14<476:33:21,  3.43s/it]
dA: 1.960; gA: 0.011;idtA: 0.022; ;dB: 0.718; gB: 0.007;cA: 0.043; cB: 0.037:   0%|          | 17/500000 [00:15<472:43:40,  3.40s/it]
dA: 1.696; gA: -0.011;idtA: 0.017; ;dB: 0.112; gB: 0.014;cA: 0.057; cB: 0.035:   0%|          | 17/500000 [00:15<472:43:40,  3.40s/it]
dA: 1.696; gA: -0.011;idtA: 0.017; ;dB: 0.112; gB: 0.014;cA: 0.057; cB: 0.035:   0%|          | 18/500000 [00:15<469:01:05,  3.38s/it]
dA: 5.104; gA: -0.002;idtA: 0.019; ;dB: 0.660; gB: 0.010;cA: 0.046; cB: 0.040:   0%|          | 18/500000 [00:15<469:01:05,  3.38s/it]
dA: 5.104; gA: -0.002;idtA: 0.019; ;dB: 0.660; gB: 0.010;cA: 0.046; cB: 0.040:   0%|          | 19/500000 [00:16<465:16:16,  3.35s/it]
dA: 2.034; gA: 0.002;idtA: 0.081; ;dB: 0.940; gB: 0.013;cA: 0.123; cB: 0.136:   0%|          | 19/500000 [00:16<465:16:16,  3.35s/it] 
dA: 2.034; gA: 0.002;idtA: 0.081; ;dB: 0.940; gB: 0.013;cA: 0.123; cB: 0.136:   0%|          | 20/500000 [00:17<461:38:00,  3.32s/it]
dA: 1.605; gA: 0.006;idtA: 0.028; ;dB: 0.717; gB: 0.003;cA: 0.038; cB: 0.055:   0%|          | 20/500000 [00:17<461:38:00,  3.32s/it]
dA: 1.605; gA: 0.006;idtA: 0.028; ;dB: 0.717; gB: 0.003;cA: 0.038; cB: 0.055:   0%|          | 21/500000 [00:18<457:57:14,  3.30s/it]
dA: 2.482; gA: 0.000;idtA: 0.034; ;dB: 0.634; gB: 0.007;cA: 0.076; cB: 0.054:   0%|          | 21/500000 [00:18<457:57:14,  3.30s/it]
dA: 2.482; gA: 0.000;idtA: 0.034; ;dB: 0.634; gB: 0.007;cA: 0.076; cB: 0.054:   0%|          | 22/500000 [00:18<454:23:21,  3.27s/it]
dA: 1.505; gA: 0.009;idtA: 0.030; ;dB: 0.481; gB: 0.022;cA: 0.057; cB: 0.057:   0%|          | 22/500000 [00:18<454:23:21,  3.27s/it]
dA: 1.505; gA: 0.009;idtA: 0.030; ;dB: 0.481; gB: 0.022;cA: 0.057; cB: 0.057:   0%|          | 23/500000 [00:19<450:47:27,  3.25s/it]
dA: 1.721; gA: 0.014;idtA: 0.023; ;dB: 0.198; gB: 0.011;cA: 0.041; cB: 0.039:   0%|          | 23/500000 [00:19<450:47:27,  3.25s/it]
dA: 1.721; gA: 0.014;idtA: 0.023; ;dB: 0.198; gB: 0.011;cA: 0.041; cB: 0.039:   0%|          | 24/500000 [00:20<447:18:49,  3.22s/it]
dA: 1.673; gA: 0.005;idtA: 0.024; ;dB: 0.300; gB: 0.011;cA: 0.064; cB: 0.064:   0%|          | 24/500000 [00:20<447:18:49,  3.22s/it]
dA: 1.673; gA: 0.005;idtA: 0.024; ;dB: 0.300; gB: 0.011;cA: 0.064; cB: 0.064:   0%|          | 25/500000 [00:20<443:46:28,  3.20s/it]
dA: 1.751; gA: 0.001;idtA: 0.026; ;dB: 0.445; gB: 0.018;cA: 0.060; cB: 0.054:   0%|          | 25/500000 [00:20<443:46:28,  3.20s/it]
dA: 1.751; gA: 0.001;idtA: 0.026; ;dB: 0.445; gB: 0.018;cA: 0.060; cB: 0.054:   0%|          | 26/500000 [00:21<440:20:28,  3.17s/it]
dA: 2.140; gA: 0.003;idtA: 0.015; ;dB: 0.642; gB: 0.007;cA: 0.067; cB: 0.025:   0%|          | 26/500000 [00:21<440:20:28,  3.17s/it]
dA: 2.140; gA: 0.003;idtA: 0.015; ;dB: 0.642; gB: 0.007;cA: 0.067; cB: 0.025:   0%|          | 27/500000 [00:22<436:52:49,  3.15s/it]
dA: 1.675; gA: 0.009;idtA: 0.015; ;dB: 0.240; gB: 0.015;cA: 0.044; cB: 0.028:   0%|          | 27/500000 [00:22<436:52:49,  3.15s/it]
dA: 1.675; gA: 0.009;idtA: 0.015; ;dB: 0.240; gB: 0.015;cA: 0.044; cB: 0.028:   0%|          | 28/500000 [00:22<433:27:01,  3.12s/it]
dA: 1.616; gA: 0.008;idtA: 0.043; ;dB: 0.187; gB: 0.009;cA: 0.063; cB: 0.083:   0%|          | 28/500000 [00:22<433:27:01,  3.12s/it]
dA: 1.616; gA: 0.008;idtA: 0.043; ;dB: 0.187; gB: 0.009;cA: 0.063; cB: 0.083:   0%|          | 29/500000 [00:23<430:07:50,  3.10s/it]
dA: 1.781; gA: 0.031;idtA: 0.029; ;dB: 1.792; gB: 0.008;cA: 0.073; cB: 0.068:   0%|          | 29/500000 [00:23<430:07:50,  3.10s/it]
dA: 1.781; gA: 0.031;idtA: 0.029; ;dB: 1.792; gB: 0.008;cA: 0.073; cB: 0.068:   0%|          | 30/500000 [00:24<426:46:08,  3.07s/it]
dA: 1.797; gA: 0.001;idtA: 0.025; ;dB: 0.239; gB: 0.003;cA: 0.043; cB: 0.045:   0%|          | 30/500000 [00:24<426:46:08,  3.07s/it]
dA: 1.797; gA: 0.001;idtA: 0.025; ;dB: 0.239; gB: 0.003;cA: 0.043; cB: 0.045:   0%|          | 31/500000 [00:25<423:31:31,  3.05s/it]
dA: 1.680; gA: 0.007;idtA: 0.025; ;dB: 0.642; gB: 0.017;cA: 0.069; cB: 0.046:   0%|          | 31/500000 [00:25<423:31:31,  3.05s/it]
dA: 1.680; gA: 0.007;idtA: 0.025; ;dB: 0.642; gB: 0.017;cA: 0.069; cB: 0.046:   0%|          | 32/500000 [00:25<420:13:39,  3.03s/it]
dA: 2.087; gA: 0.017;idtA: 0.022; ;dB: 0.052; gB: 0.012;cA: 0.063; cB: 0.059:   0%|          | 32/500000 [00:25<420:13:39,  3.03s/it]
