masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck23
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<472:35:23,  3.40s/it]
dA: 0.818; gA: 0.010;; ;dB: 0.326; gB: 0.009;cA: 0.043; cB: 0.035:   0%|          | 18/500000 [00:11<409:07:21,  2.95s/it]
dA: 0.912; gA: -0.006;; ;dB: 0.537; gB: 0.010;cA: 0.078; cB: 0.099:   0%|          | 18/500000 [00:11<409:07:21,  2.95s/it]
dA: 0.912; gA: -0.006;; ;dB: 0.537; gB: 0.010;cA: 0.078; cB: 0.099:   0%|          | 19/500000 [00:12<405:42:53,  2.92s/it]
dA: 1.115; gA: -0.009;; ;dB: 0.307; gB: 0.016;cA: 0.065; cB: 0.050:   0%|          | 19/500000 [00:12<405:42:53,  2.92s/it]
dA: 1.115; gA: -0.009;; ;dB: 0.307; gB: 0.016;cA: 0.065; cB: 0.050:   0%|          | 20/500000 [00:12<402:20:34,  2.90s/it]
dA: 1.219; gA: 0.002;; ;dB: 0.258; gB: 0.016;cA: 0.041; cB: 0.045:   0%|          | 20/500000 [00:12<402:20:34,  2.90s/it] 
dA: 1.219; gA: 0.002;; ;dB: 0.258; gB: 0.016;cA: 0.041; cB: 0.045:   0%|          | 21/500000 [00:13<399:00:27,  2.87s/it]
dA: 0.898; gA: 0.010;; ;dB: 0.715; gB: 0.001;cA: 0.049; cB: 0.041:   0%|          | 21/500000 [00:13<399:00:27,  2.87s/it]
dA: 0.898; gA: 0.010;; ;dB: 0.715; gB: 0.001;cA: 0.049; cB: 0.041:   0%|          | 22/500000 [00:13<395:42:23,  2.85s/it]
dA: 0.984; gA: -0.001;; ;dB: 0.338; gB: 0.020;cA: 0.083; cB: 0.071:   0%|          | 22/500000 [00:13<395:42:23,  2.85s/it]
dA: 0.984; gA: -0.001;; ;dB: 0.338; gB: 0.020;cA: 0.083; cB: 0.071:   0%|          | 23/500000 [00:14<392:26:01,  2.83s/it]
dA: 0.938; gA: 0.002;; ;dB: 0.081; gB: 0.011;cA: 0.068; cB: 0.110:   0%|          | 23/500000 [00:14<392:26:01,  2.83s/it] 
dA: 0.938; gA: 0.002;; ;dB: 0.081; gB: 0.011;cA: 0.068; cB: 0.110:   0%|          | 24/500000 [00:14<389:15:40,  2.80s/it]
dA: 0.941; gA: 0.001;; ;dB: 0.112; gB: 0.017;cA: 0.064; cB: 0.060:   0%|          | 24/500000 [00:14<389:15:40,  2.80s/it]
dA: 0.941; gA: 0.001;; ;dB: 0.112; gB: 0.017;cA: 0.064; cB: 0.060:   0%|          | 25/500000 [00:15<386:06:50,  2.78s/it]
dA: 1.005; gA: 0.001;; ;dB: 0.333; gB: 0.021;cA: 0.034; cB: 0.034:   0%|          | 25/500000 [00:15<386:06:50,  2.78s/it]
