masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck11
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<545:30:48,  3.93s/it]
dA: 0.870; gA: 0.003;idtA: 0.029; ;dB: 0.560; gB: 0.012;cA: 0.069; cB: 0.092:   0%|          | 16/500000 [00:12<480:01:57,  3.46s/it]
dA: 0.870; gA: 0.003;idtA: 0.029; ;dB: 0.560; gB: 0.012;cA: 0.069; cB: 0.092:   0%|          | 17/500000 [00:12<476:00:20,  3.43s/it]
dA: 0.729; gA: -0.005;idtA: 0.018; ;dB: 0.358; gB: 0.007;cA: 0.037; cB: 0.046:   0%|          | 17/500000 [00:12<476:00:20,  3.43s/it]
dA: 0.729; gA: -0.005;idtA: 0.018; ;dB: 0.358; gB: 0.007;cA: 0.037; cB: 0.046:   0%|          | 18/500000 [00:13<472:00:55,  3.40s/it]
dA: 1.179; gA: 0.014;idtA: 0.030; ;dB: 0.647; gB: 0.023;cA: 0.078; cB: 0.149:   0%|          | 18/500000 [00:13<472:00:55,  3.40s/it] 
dA: 1.179; gA: 0.014;idtA: 0.030; ;dB: 0.647; gB: 0.023;cA: 0.078; cB: 0.149:   0%|          | 19/500000 [00:13<468:04:22,  3.37s/it]
dA: 1.043; gA: 0.000;idtA: 0.030; ;dB: 0.324; gB: 0.007;cA: 0.090; cB: 0.059:   0%|          | 19/500000 [00:13<468:04:22,  3.37s/it]
dA: 1.043; gA: 0.000;idtA: 0.030; ;dB: 0.324; gB: 0.007;cA: 0.090; cB: 0.059:   0%|          | 20/500000 [00:14<464:10:58,  3.34s/it]
dA: 1.004; gA: -0.002;idtA: 0.026; ;dB: 0.099; gB: 0.016;cA: 0.055; cB: 0.065:   0%|          | 20/500000 [00:14<464:10:58,  3.34s/it]
dA: 1.004; gA: -0.002;idtA: 0.026; ;dB: 0.099; gB: 0.016;cA: 0.055; cB: 0.065:   0%|          | 21/500000 [00:15<460:21:22,  3.31s/it]
