masks are: empty
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck13
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<487:01:30,  3.51s/it]
dA: 0.730; gA: -0.003;idtA: 0.058; ;dB: 0.175; gB: 0.009;cA: 0.108; cB: 0.094:   0%|          | 16/500000 [00:11<429:38:32,  3.09s/it]
dA: 0.730; gA: -0.003;idtA: 0.058; ;dB: 0.175; gB: 0.009;cA: 0.108; cB: 0.094:   0%|          | 17/500000 [00:12<426:06:10,  3.07s/it]
dA: 0.640; gA: 0.003;idtA: 0.018; ;dB: 0.799; gB: 0.009;cA: 0.034; cB: 0.032:   0%|          | 17/500000 [00:12<426:06:10,  3.07s/it] 
dA: 0.640; gA: 0.003;idtA: 0.018; ;dB: 0.799; gB: 0.009;cA: 0.034; cB: 0.032:   0%|          | 18/500000 [00:12<422:36:43,  3.04s/it]
dA: 0.833; gA: -0.010;idtA: 0.040; ;dB: 0.520; gB: 0.015;cA: 0.080; cB: 0.057:   0%|          | 18/500000 [00:12<422:36:43,  3.04s/it]
dA: 0.833; gA: -0.010;idtA: 0.040; ;dB: 0.520; gB: 0.015;cA: 0.080; cB: 0.057:   0%|          | 19/500000 [00:13<419:09:09,  3.02s/it]
dA: 1.594; gA: 0.002;idtA: 0.029; ;dB: 0.504; gB: 0.012;cA: 0.052; cB: 0.043:   0%|          | 19/500000 [00:13<419:09:09,  3.02s/it] 
dA: 1.594; gA: 0.002;idtA: 0.029; ;dB: 0.504; gB: 0.012;cA: 0.052; cB: 0.043:   0%|          | 20/500000 [00:14<415:43:37,  2.99s/it]
dA: 0.569; gA: 0.011;idtA: 0.021; ;dB: 0.263; gB: 0.018;cA: 0.047; cB: 0.042:   0%|          | 20/500000 [00:14<415:43:37,  2.99s/it]
dA: 0.569; gA: 0.011;idtA: 0.021; ;dB: 0.263; gB: 0.018;cA: 0.047; cB: 0.042:   0%|          | 21/500000 [00:14<412:20:01,  2.97s/it]
dA: 0.624; gA: -0.000;idtA: 0.023; ;dB: 0.554; gB: 0.004;cA: 0.043; cB: 0.042:   0%|          | 21/500000 [00:14<412:20:01,  2.97s/it]
dA: 0.624; gA: -0.000;idtA: 0.023; ;dB: 0.554; gB: 0.004;cA: 0.043; cB: 0.042:   0%|          | 22/500000 [00:15<408:58:22,  2.94s/it]
dA: 1.206; gA: 0.004;idtA: 0.034; ;dB: 0.245; gB: 0.019;cA: 0.072; cB: 0.063:   0%|          | 22/500000 [00:15<408:58:22,  2.94s/it] 
dA: 1.206; gA: 0.004;idtA: 0.034; ;dB: 0.245; gB: 0.019;cA: 0.072; cB: 0.063:   0%|          | 23/500000 [00:15<405:38:47,  2.92s/it]
dA: 0.742; gA: 0.012;idtA: 0.040; ;dB: 0.298; gB: 0.026;cA: 0.071; cB: 0.070:   0%|          | 23/500000 [00:15<405:38:47,  2.92s/it]
dA: 0.742; gA: 0.012;idtA: 0.040; ;dB: 0.298; gB: 0.026;cA: 0.071; cB: 0.070:   0%|          | 24/500000 [00:16<402:22:07,  2.90s/it]
dA: 0.731; gA: 0.015;idtA: 0.034; ;dB: 0.309; gB: 0.010;cA: 0.060; cB: 0.054:   0%|          | 24/500000 [00:16<402:22:07,  2.90s/it]
dA: 0.731; gA: 0.015;idtA: 0.034; ;dB: 0.309; gB: 0.010;cA: 0.060; cB: 0.054:   0%|          | 25/500000 [00:16<399:06:54,  2.87s/it]
dA: 0.838; gA: 0.004;idtA: 0.016; ;dB: 0.462; gB: 0.012;cA: 0.025; cB: 0.025:   0%|          | 25/500000 [00:16<399:06:54,  2.87s/it]
dA: 0.838; gA: 0.004;idtA: 0.016; ;dB: 0.462; gB: 0.012;cA: 0.025; cB: 0.025:   0%|          | 26/500000 [00:17<395:52:32,  2.85s/it]
dA: 0.578; gA: 0.019;idtA: 0.029; ;dB: 0.595; gB: 0.003;cA: 0.070; cB: 0.044:   0%|          | 26/500000 [00:17<395:52:32,  2.85s/it]
dA: 0.578; gA: 0.019;idtA: 0.029; ;dB: 0.595; gB: 0.003;cA: 0.070; cB: 0.044:   0%|          | 27/500000 [00:17<392:40:59,  2.83s/it]
dA: 1.501; gA: 0.023;idtA: 0.020; ;dB: 0.687; gB: 0.000;cA: 0.039; cB: 0.033:   0%|          | 27/500000 [00:17<392:40:59,  2.83s/it]
dA: 1.501; gA: 0.023;idtA: 0.020; ;dB: 0.687; gB: 0.000;cA: 0.039; cB: 0.033:   0%|          | 28/500000 [00:18<389:31:35,  2.80s/it]
dA: 0.676; gA: -0.003;idtA: 0.027; ;dB: 0.479; gB: 0.029;cA: 0.053; cB: 0.045:   0%|          | 28/500000 [00:18<389:31:35,  2.80s/it]
dA: 0.676; gA: -0.003;idtA: 0.027; ;dB: 0.479; gB: 0.029;cA: 0.053; cB: 0.045:   0%|          | 29/500000 [00:19<386:24:04,  2.78s/it]
dA: 0.848; gA: 0.029;idtA: 0.019; ;dB: 0.132; gB: 0.011;cA: 0.049; cB: 0.033:   0%|          | 29/500000 [00:19<386:24:04,  2.78s/it] 
dA: 0.848; gA: 0.029;idtA: 0.019; ;dB: 0.132; gB: 0.011;cA: 0.049; cB: 0.033:   0%|          | 30/500000 [00:19<383:18:28,  2.76s/it]
dA: 0.620; gA: 0.004;idtA: 0.035; ;dB: 0.192; gB: 0.024;cA: 0.057; cB: 0.049:   0%|          | 30/500000 [00:19<383:18:28,  2.76s/it]
