masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck18
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<537:14:57,  3.87s/it]
dA: 0.907; gA: 0.001;idtA: 0.051; ;dB: 0.375; gB: 0.021;cA: 0.000; cB: 0.084:   0%|          | 16/500000 [00:12<472:37:48,  3.40s/it]
dA: 0.907; gA: 0.001;idtA: 0.051; ;dB: 0.375; gB: 0.021;cA: 0.000; cB: 0.084:   0%|          | 17/500000 [00:12<468:39:15,  3.37s/it]
dA: 0.932; gA: 0.007;idtA: 0.021; ;dB: 0.438; gB: 0.012;cA: 0.000; cB: 0.047:   0%|          | 17/500000 [00:12<468:39:15,  3.37s/it]
dA: 0.932; gA: 0.007;idtA: 0.021; ;dB: 0.438; gB: 0.012;cA: 0.000; cB: 0.047:   0%|          | 18/500000 [00:13<464:43:16,  3.35s/it]
dA: 1.126; gA: -0.005;idtA: 0.032; ;dB: 0.547; gB: 0.015;cA: 0.000; cB: 0.114:   0%|          | 18/500000 [00:13<464:43:16,  3.35s/it]
dA: 1.126; gA: -0.005;idtA: 0.032; ;dB: 0.547; gB: 0.015;cA: 0.000; cB: 0.114:   0%|          | 19/500000 [00:13<460:49:50,  3.32s/it]
dA: 0.970; gA: 0.005;idtA: 0.026; ;dB: 0.337; gB: 0.011;cA: 0.000; cB: 0.043:   0%|          | 19/500000 [00:13<460:49:50,  3.32s/it] 
dA: 0.970; gA: 0.005;idtA: 0.026; ;dB: 0.337; gB: 0.011;cA: 0.000; cB: 0.043:   0%|          | 20/500000 [00:14<456:58:46,  3.29s/it]
dA: 0.921; gA: 0.005;idtA: 0.020; ;dB: 0.832; gB: 0.016;cA: 0.000; cB: 0.200:   0%|          | 20/500000 [00:14<456:58:46,  3.29s/it]
dA: 0.921; gA: 0.005;idtA: 0.020; ;dB: 0.832; gB: 0.016;cA: 0.000; cB: 0.200:   0%|          | 21/500000 [00:14<453:09:56,  3.26s/it]
dA: 0.848; gA: 0.005;idtA: 0.025; ;dB: 0.230; gB: 0.007;cA: 0.000; cB: 0.051:   0%|          | 21/500000 [00:14<453:09:56,  3.26s/it]
dA: 0.848; gA: 0.005;idtA: 0.025; ;dB: 0.230; gB: 0.007;cA: 0.000; cB: 0.051:   0%|          | 22/500000 [00:15<449:23:03,  3.24s/it]
dA: 1.053; gA: -0.004;idtA: 0.036; ;dB: 0.490; gB: 0.028;cA: 0.000; cB: 0.074:   0%|          | 22/500000 [00:15<449:23:03,  3.24s/it]
dA: 1.053; gA: -0.004;idtA: 0.036; ;dB: 0.490; gB: 0.028;cA: 0.000; cB: 0.074:   0%|          | 23/500000 [00:15<445:38:49,  3.21s/it]
dA: 0.919; gA: 0.011;idtA: 0.028; ;dB: 0.194; gB: 0.008;cA: 0.000; cB: 0.082:   0%|          | 23/500000 [00:15<445:38:49,  3.21s/it] 
dA: 0.919; gA: 0.011;idtA: 0.028; ;dB: 0.194; gB: 0.008;cA: 0.000; cB: 0.082:   0%|          | 24/500000 [00:16<441:57:06,  3.18s/it]
dA: 0.996; gA: 0.001;idtA: 0.020; ;dB: 0.109; gB: 0.019;cA: 0.000; cB: 0.056:   0%|          | 24/500000 [00:16<441:57:06,  3.18s/it]
dA: 0.996; gA: 0.001;idtA: 0.020; ;dB: 0.109; gB: 0.019;cA: 0.000; cB: 0.056:   0%|          | 25/500000 [00:16<438:17:31,  3.16s/it]
dA: 0.968; gA: -0.000;idtA: 0.019; ;dB: 0.648; gB: 0.004;cA: 0.000; cB: 0.029:   0%|          | 25/500000 [00:16<438:17:31,  3.16s/it]
dA: 0.968; gA: -0.000;idtA: 0.019; ;dB: 0.648; gB: 0.004;cA: 0.000; cB: 0.029:   0%|          | 26/500000 [00:17<434:41:01,  3.13s/it]
dA: 0.859; gA: 0.007;idtA: 0.031; ;dB: 0.647; gB: 0.006;cA: 0.000; cB: 0.059:   0%|          | 26/500000 [00:17<434:41:01,  3.13s/it] 
dA: 0.859; gA: 0.007;idtA: 0.031; ;dB: 0.647; gB: 0.006;cA: 0.000; cB: 0.059:   0%|          | 27/500000 [00:18<431:06:12,  3.10s/it]
dA: 0.945; gA: -0.000;idtA: 0.022; ;dB: 0.581; gB: 0.003;cA: 0.000; cB: 0.048:   0%|          | 27/500000 [00:18<431:06:12,  3.10s/it]
dA: 0.945; gA: -0.000;idtA: 0.022; ;dB: 0.581; gB: 0.003;cA: 0.000; cB: 0.048:   0%|          | 28/500000 [00:18<427:33:12,  3.08s/it]
dA: 0.867; gA: 0.008;idtA: 0.027; ;dB: 0.115; gB: 0.024;cA: 0.000; cB: 0.072:   0%|          | 28/500000 [00:18<427:33:12,  3.08s/it] 
dA: 0.867; gA: 0.008;idtA: 0.027; ;dB: 0.115; gB: 0.024;cA: 0.000; cB: 0.072:   0%|          | 29/500000 [00:19<424:05:47,  3.05s/it]
dA: 0.998; gA: 0.003;idtA: 0.018; ;dB: 0.246; gB: 0.020;cA: 0.000; cB: 0.062:   0%|          | 29/500000 [00:19<424:05:47,  3.05s/it]
dA: 0.998; gA: 0.003;idtA: 0.018; ;dB: 0.246; gB: 0.020;cA: 0.000; cB: 0.062:   0%|          | 30/500000 [00:19<420:36:33,  3.03s/it]
dA: 0.732; gA: 0.007;idtA: 0.033; ;dB: 0.469; gB: 0.006;cA: 0.000; cB: 0.072:   0%|          | 30/500000 [00:19<420:36:33,  3.03s/it]
dA: 0.732; gA: 0.007;idtA: 0.033; ;dB: 0.469; gB: 0.006;cA: 0.000; cB: 0.072:   0%|          | 31/500000 [00:20<417:09:37,  3.00s/it]
dA: 1.005; gA: -0.002;idtA: 0.018; ;dB: 0.330; gB: 0.014;cA: 0.000; cB: 0.034:   0%|          | 31/500000 [00:20<417:09:37,  3.00s/it]
dA: 1.005; gA: -0.002;idtA: 0.018; ;dB: 0.330; gB: 0.014;cA: 0.000; cB: 0.034:   0%|          | 32/500000 [00:20<413:44:34,  2.98s/it]
dA: 0.781; gA: 0.004;idtA: 0.025; ;dB: 0.706; gB: -0.001;cA: 0.000; cB: 0.039:   0%|          | 32/500000 [00:20<413:44:34,  2.98s/it]
dA: 0.781; gA: 0.004;idtA: 0.025; ;dB: 0.706; gB: -0.001;cA: 0.000; cB: 0.039:   0%|          | 33/500000 [00:21<410:21:37,  2.95s/it]
dA: 0.793; gA: 0.014;idtA: 0.049; ;dB: 0.833; gB: 0.015;cA: 0.000; cB: 0.068:   0%|          | 33/500000 [00:21<410:21:37,  2.95s/it] 
dA: 0.793; gA: 0.014;idtA: 0.049; ;dB: 0.833; gB: 0.015;cA: 0.000; cB: 0.068:   0%|          | 34/500000 [00:21<407:00:56,  2.93s/it]
dA: 0.973; gA: 0.005;idtA: 0.028; ;dB: 0.342; gB: 0.016;cA: 0.000; cB: 0.038:   0%|          | 34/500000 [00:21<407:00:56,  2.93s/it]
dA: 0.973; gA: 0.005;idtA: 0.028; ;dB: 0.342; gB: 0.016;cA: 0.000; cB: 0.038:   0%|          | 35/500000 [00:22<403:41:53,  2.91s/it]
