masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck27
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<487:40:16,  3.51s/it]
dA: 0.665; gA: 0.016;holeA: 0.065; validA: 0.031;dB: 1.204; gB: -0.002;holeB: 0.044;; ;cA: 0.062; cB: 0.063:   0%|          | 14/500000 [00:10<437:43:01,  3.15s/it]
dA: 0.718; gA: 0.004;holeA: 0.085; validA: 0.049;dB: 0.473; gB: 0.017;holeB: 0.065;; ;cA: 0.081; cB: 0.077:   0%|          | 14/500000 [00:10<437:43:01,  3.15s/it] 
dA: 0.718; gA: 0.004;holeA: 0.085; validA: 0.049;dB: 0.473; gB: 0.017;holeB: 0.065;; ;cA: 0.081; cB: 0.077:   0%|          | 15/500000 [00:11<434:07:17,  3.13s/it]
dA: 0.482; gA: 0.015;holeA: 0.071; validA: 0.032;dB: 0.168; gB: 0.010;holeB: 0.063;; ;cA: 0.066; cB: 0.069:   0%|          | 15/500000 [00:11<434:07:17,  3.13s/it]
dA: 0.482; gA: 0.015;holeA: 0.071; validA: 0.032;dB: 0.168; gB: 0.010;holeB: 0.063;; ;cA: 0.066; cB: 0.069:   0%|          | 16/500000 [00:12<430:34:18,  3.10s/it]
dA: 0.649; gA: 0.004;holeA: 0.094; validA: 0.040;dB: 0.108; gB: 0.017;holeB: 0.069;; ;cA: 0.089; cB: 0.094:   0%|          | 16/500000 [00:12<430:34:18,  3.10s/it]
dA: 0.649; gA: 0.004;holeA: 0.094; validA: 0.040;dB: 0.108; gB: 0.017;holeB: 0.069;; ;cA: 0.089; cB: 0.094:   0%|          | 17/500000 [00:12<427:03:43,  3.07s/it]
dA: 0.751; gA: 0.013;holeA: 0.043; validA: 0.024;dB: 0.417; gB: 0.011;holeB: 0.036;; ;cA: 0.044; cB: 0.044:   0%|          | 17/500000 [00:12<427:03:43,  3.07s/it]
dA: 0.751; gA: 0.013;holeA: 0.043; validA: 0.024;dB: 0.417; gB: 0.011;holeB: 0.036;; ;cA: 0.044; cB: 0.044:   0%|          | 18/500000 [00:13<423:35:56,  3.05s/it]
dA: 0.730; gA: -0.004;holeA: 0.108; validA: 0.048;dB: 0.489; gB: 0.014;holeB: 0.066;; ;cA: 0.085; cB: 0.083:   0%|          | 18/500000 [00:13<423:35:56,  3.05s/it]
dA: 0.730; gA: -0.004;holeA: 0.108; validA: 0.048;dB: 0.489; gB: 0.014;holeB: 0.066;; ;cA: 0.085; cB: 0.083:   0%|          | 19/500000 [00:13<420:08:56,  3.03s/it]
dA: 0.767; gA: 0.013;holeA: 0.067; validA: 0.032;dB: 0.325; gB: 0.011;holeB: 0.054;; ;cA: 0.060; cB: 0.061:   0%|          | 19/500000 [00:13<420:08:56,  3.03s/it] 
